Animal ID,Intake Type,In Date,Pet name,Animal Type,Pet Age,Pet Size,Color,Breed,Sex,URL Link ,Crossing
A518499,OWNER SUR,04/27/2024,DJ,OTHER,NO AGE,SMALL,GREEN,TURTLE / REDEARED SLIDER,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A518499&location=MONT,
A518484,OWNER SUR,04/27/2024,SUNNY,OTHER,9 YEARS,MED,BROWN,TURTLE / REDEARED SLIDER,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A518484&location=MONT,
A513554,EUTH REQ,12/08/2023,NOVA,DOG,2 YEARS,MED,TAN / WHITE,AM PIT BULL TER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A513554&location=MONT,
A496669,EUTH REQ,03/31/2024,ICE'AH,DOG,2 YEARS,PUPPY,GRAY,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A496669&location=MONT,
A515664,FOSTER,04/30/2024,*KIMMIE,DOG,3 YEARS,MED,BROWN / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A515664&location=MONT,
A517709,FOSTER,04/25/2024,REMY,DOG,1 YEAR 3 MONTHS,LARGE,TAN / WHITE,MASTIFF / AMER BULLDOG,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517709&location=MONT,
A519948,OWNER SUR,06/15/2024,SUMO,OTHER,NO AGE,SMALL,GREEN,TURTLE / REDEARED SLIDER,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A519948&location=MONT,
A520434,OWNER SUR,06/30/2024,GINGER-ALE,OTHER,3 YEARS,MED,BROWN / ORANGE,RABBIT LH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A520434&location=MONT,
A520682,OWNER SUR,07/06/2024,ANGEL,CAT,6 YEARS,MED,BLACK,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A520682&location=MONT,
A507522,OWNER SUR,02/05/2024,*RITA,DOG,2 YEARS,MED,BRINDLE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A507522&location=MONT,
A519943,EUTH REQ,06/14/2024,OSCAR,CAT,1 YEAR 9 MONTHS,MED,GRAY,DOMESTIC LH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A519943&location=MONT,
A519245,CONFISCATE,05/24/2024,HUEYH,DOG,2 YEARS,MED,BLACK / WHITE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A519245&location=MONT,
A510530,BOARDING,09/21/2023,DIXIE,DOG,4 YEARS,MED,GRAY / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A510530&location=MONT,
A518946,FOSTER,07/05/2024,*SUMMER,DOG,2 YEARS,MED,TAN / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A518946&location=MONT,
A497098,EUTH REQ,06/30/2024,TOMMY,CAT,3 YEARS,MED,GRAY / WHITE,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A497098&location=MONT,
A515337,FOSTER,06/25/2024,KIKO,CAT,13 YEARS,MED,BLACK / WHITE,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A515337&location=MONT,
A508644,OWNER SUR,06/30/2024,JULIET,DOG,1 YEAR 9 MONTHS,MED,BROWN / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A508644&location=MONT,
A519785,FOSTER,07/03/2024,*MASQUERADE,CAT,3 YEARS,LARGE,BLACK,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A519785&location=MONT,
A516697,FOSTER,07/05/2024,CHIEF,DOG,5 YEARS,MED,WHITE / BLACK,AMER BULLDOG / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A516697&location=MONT,
A519692,EUTH REQ,06/17/2024,LUPE,DOG,3 YEARS,LARGE,GRAY,AM PIT BULL TER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A519692&location=MONT,
A516049,RETURN,07/12/2024,DRAKO,DOG,3 YEARS,LARGE,GRAY / WHITE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A516049&location=MONT,
A504734,FOSTER,07/14/2024,SARABI,DOG,6 YEARS,LARGE,WHITE / BROWN,AM PIT BULL TER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A504734&location=MONT,
A520448,BOARDING,07/01/2024,*DORY,OTHER,NO AGE,TOY,BLACK / WHITE,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A520448&location=MONT,
